dataset,run_tag,feature_mode,delan_id,lstm_id,run_dir,split,H,delan_mse,delan_rmse,res_mse,res_rmse,rg_mse,rg_rmse,delan_joint_rmse_0,res_joint_rmse_0,rg_joint_rmse_0,delan_joint_rmse_1,res_joint_rmse_1,rg_joint_rmse_1,delan_joint_rmse_2,res_joint_rmse_2,rg_joint_rmse_2,delan_joint_rmse_3,res_joint_rmse_3,rg_joint_rmse_3,delan_joint_rmse_4,res_joint_rmse_4,rg_joint_rmse_4,delan_joint_rmse_5,res_joint_rmse_5,rg_joint_rmse_5,metrics_path,backend,gain,gain_ratio,feature_backend,joint_gain_0,joint_gain_ratio_0,joint_gain_1,joint_gain_ratio_1,joint_gain_2,joint_gain_ratio_2,joint_gain_3,joint_gain_ratio_3,joint_gain_4,joint_gain_ratio_4,joint_gain_5,joint_gain_ratio_5
UR3_Load0_DataSet16,A,full,jax_struct_s4_ep200,s4_H50_ep60_b64_u128_do0p2,UR3_Load0_DataSet16__A__delan_jax_struct_s4_ep200__feat_full__lstm_s4_H50_ep60_b64_u128_do0p2,test,50,0.10867002606391907,0.3296513557434082,0.0035558936651796103,0.059631314128637314,0.0035558936651796103,0.059631314128637314,0.10058131068944931,0.03944161906838417,0.03944161906838417,0.7087470889091492,0.08982551842927933,0.08982551097869873,0.3564508855342865,0.09358862787485123,0.09358863532543182,0.07046282291412354,0.03222432732582092,0.03222432732582092,0.07289198040962219,0.03612882271409035,0.03612882271409035,0.04738472402095795,0.024669090285897255,0.024669090285897255,/workspace/shared/evaluation/UR3_Load0_DataSet16__A__delan_jax_struct_s4_ep200__feat_full__lstm_s4_H50_ep60_b64_u128_do0p2/metrics_test_H50.txt,jax,0.2700200416147709,0.1808920639630335,full|jax,0.06113969162106514,0.392136658371479,0.6189215779304504,0.1267384549218417,0.2628622502088547,0.26255688826568974,0.03823849558830261,0.4573238197551959,0.036763157695531845,0.49564880129558286,0.022715633735060692,0.5206127247883998
delan_UR3_Load0_combined_26,A,full,jax_struct_s0_ep300,s0_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s0_H25_ep80_b256_u128_do0p1,test,25,0.6864938139915466,0.8285492062568665,0.4702088236808777,0.685717761516571,0.4702088236808777,0.685717761516571,1.082981824874878,0.8781924843788147,0.8781924843788147,1.2893680334091187,1.0480808019638062,1.0480808019638062,0.868276834487915,0.7520462870597839,0.7520462870597839,0.49175921082496643,0.43408524990081787,0.43408524990081787,0.34875839948654175,0.28940704464912415,0.28940701484680176,0.40777063369750977,0.337329238653183,0.337329238653183,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s0_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.1428314447402954,0.8276125984290487,full|jax,0.20478934049606323,0.8109023292983485,0.2412872314453125,0.8128639572307811,0.1162305474281311,0.8661365329449557,0.05767396092414856,0.8827191038732233,0.05935138463973999,0.8298209169238079,0.07044139504432678,0.8272524080373546
delan_UR3_Load0_combined_26,A,full,jax_struct_s0_ep300,s0_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s0_H50_ep80_b256_u128_do0p1,test,50,0.6962010860443115,0.8343866467475891,0.49253609776496887,0.7018091678619385,0.49253609776496887,0.7018091678619385,1.0911872386932373,0.9097998142242432,0.9097998142242432,1.2992748022079468,1.095061182975769,1.095061182975769,0.8728504180908203,0.746431291103363,0.7464313507080078,0.49518945813179016,0.42151451110839844,0.4215145409107208,0.3507083058357239,0.2869405448436737,0.2869405448436737,0.4102714955806732,0.33339694142341614,0.33339694142341614,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s0_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.13257747888565063,0.8411078612026772,full|jax,0.18138742446899414,0.833770577553476,0.20421361923217773,0.8428249213444734,0.1264190673828125,0.8551652553947009,0.07367491722106934,0.8512187284862163,0.06376776099205017,0.8181743633356668,0.07687455415725708,0.8126251641039465
delan_UR3_Load0_combined_26,A,full,jax_struct_s0_ep300,s1_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s1_H25_ep80_b256_u128_do0p1,test,25,0.7135064601898193,0.844693124294281,0.5524691343307495,0.743282675743103,0.5524690747261047,0.7432826161384583,1.3017061948776245,1.1302050352096558,1.1302050352096558,1.1209157705307007,1.0277271270751953,1.0277271270751953,0.6288420557975769,0.5483303070068359,0.5483303070068359,0.4920721650123596,0.38217487931251526,0.38217487931251526,0.507064938545227,0.42946213483810425,0.42946213483810425,0.6598911285400391,0.5916630625724792,0.5916630625724792,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s1_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.10141050815582275,0.8799439639803526,full|jax,0.17150115966796875,0.8682489486929945,0.09318864345550537,0.9168638305343987,0.08051174879074097,0.8719682501377459,0.10989728569984436,0.7766642913096212,0.0776028037071228,0.8469568731575766,0.06822806596755981,0.8966070871137343
delan_UR3_Load0_combined_26,A,full,jax_struct_s0_ep300,s1_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s1_H50_ep80_b256_u128_do0p1,test,50,0.7063262462615967,0.8404321670532227,0.5244961380958557,0.7242210507392883,0.5244961380958557,0.7242210507392883,1.2969292402267456,1.0995630025863647,1.0995630025863647,1.1246250867843628,1.0002193450927734,1.0002193450927734,0.6207648515701294,0.545924961566925,0.545924961566925,0.48689132928848267,0.37424811720848083,0.37424811720848083,0.49791455268859863,0.41962331533432007,0.41962331533432007,0.6487066745758057,0.5686116814613342,0.5686116814613342,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s1_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.11621111631393433,0.8617245735353024,full|jax,0.19736623764038086,0.8478203501635334,0.12440574169158936,0.8893802537810157,0.07483989000320435,0.87943922756917,0.11264321208000183,0.7686481452758407,0.07829123735427856,0.8427617009152918,0.08009499311447144,0.8765312640465027
delan_UR3_Load0_combined_26,A,full,jax_struct_s0_ep300,s2_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s2_H25_ep80_b256_u128_do0p1,test,25,0.380609393119812,0.6169354915618896,0.20807676017284393,0.45615431666374207,0.20807677507400513,0.45615434646606445,0.6454299092292786,0.48139315843582153,0.48139315843582153,1.0060025453567505,0.7105411887168884,0.7105411887168884,0.6501865983009338,0.4909271001815796,0.4909271001815796,0.3868418335914612,0.30997830629348755,0.30997830629348755,0.3508897125720978,0.2777869403362274,0.2777869403362274,0.3993983864784241,0.31239038705825806,0.31239038705825806,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s2_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.1607811450958252,0.7393874281915973,full|jax,0.16403675079345703,0.7458488544645587,0.29546135663986206,0.7063015814387577,0.15925949811935425,0.7550557047230275,0.07686352729797363,0.8013050279894283,0.07310277223587036,0.7916645327102605,0.08700799942016602,0.7821523512217136
delan_UR3_Load0_combined_26,A,full,jax_struct_s0_ep300,s2_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s2_H50_ep80_b256_u128_do0p1,test,50,0.38784193992614746,0.6227695941925049,0.21722805500030518,0.4660772979259491,0.21722806990146637,0.4660773277282715,0.6511827707290649,0.5010129809379578,0.5010129809379578,1.0197863578796387,0.7441855072975159,0.7441855072975159,0.6514564156532288,0.478149950504303,0.478149950504303,0.3888433277606964,0.3069610595703125,0.3069610893726349,0.3536071181297302,0.2791135311126709,0.2791135311126709,0.40300408005714417,0.31270453333854675,0.31270453333854675,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_full__lstm_s2_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.1566922664642334,0.748394481802851,full|jax,0.15016978979110718,0.7693891845096318,0.2756008505821228,0.7297464822385368,0.17330646514892578,0.733970744650434,0.08188223838806152,0.7894210018733976,0.07449358701705933,0.7893323318516191,0.09029954671859741,0.7759339143519506
delan_UR3_Load0_combined_26,A,state,jax_struct_s0_ep300,s0_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_state__lstm_s0_H25_ep80_b256_u128_do0p1,test,25,0.6864938139915466,0.8285492062568665,0.6116469502449036,0.7820786237716675,0.6116469502449036,0.7820786237716675,1.082981824874878,1.0332952737808228,1.0332952737808228,1.2893680334091187,1.1946948766708374,1.1946948766708374,0.868276834487915,0.8445486426353455,0.8445486426353455,0.49175921082496643,0.46218669414520264,0.46218669414520264,0.34875839948654175,0.33702322840690613,0.33702322840690613,0.40777063369750977,0.3666331470012665,0.3666331470012665,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_state__lstm_s0_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.046470582485198975,0.9439133099950225,state|jax,0.049686551094055176,0.9541206048404407,0.09467315673828125,0.9265739848629849,0.02372819185256958,0.9726720892345772,0.029572516679763794,0.9398638276034454,0.01173517107963562,0.9663515743365244,0.041137486696243286,0.8991161125968682
delan_UR3_Load0_combined_26,A,state,jax_struct_s0_ep300,s0_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_state__lstm_s0_H50_ep80_b256_u128_do0p1,test,50,0.6962010860443115,0.8343866467475891,0.6279413104057312,0.7924274802207947,0.6279413104057312,0.7924274802207947,1.0911872386932373,1.0560659170150757,1.0560659170150757,1.2992748022079468,1.2063602209091187,1.2063602209091187,0.8728504180908203,0.8500565886497498,0.8500565886497498,0.49518945813179016,0.46149805188179016,0.46149811148643494,0.3507083058357239,0.3421747088432312,0.3421747088432312,0.4102714955806732,0.3800045847892761,0.3800045847892761,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_state__lstm_s0_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.041959166526794434,0.9497125622871005,state|jax,0.03512132167816162,0.9678136616404884,0.09291458129882812,0.9284873522206911,0.022793829441070557,0.9738857552581262,0.033691346645355225,0.9319627142862388,0.008533596992492676,0.9756675366665256,0.030266910791397095,0.9262271176101105
delan_UR3_Load0_combined_26,A,state,jax_struct_s0_ep300,s1_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_state__lstm_s1_H25_ep80_b256_u128_do0p1,test,25,0.7135064601898193,0.844693124294281,0.5897193551063538,0.7679318785667419,0.5897193551063538,0.7679318785667419,1.3017061948776245,1.1966496706008911,1.1966496706008911,1.1209157705307007,1.0210111141204834,1.021011233329773,0.6288420557975769,0.5259460210800171,0.5259460210800171,0.4920721650123596,0.3918120265007019,0.3918120563030243,0.507064938545227,0.4801750183105469,0.4801750183105469,0.6598911285400391,0.634960949420929,0.634960949420929,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p2__delan_jax_struct_s0_ep300__feat_state__lstm_s1_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.07676124572753906,0.909125286426747,state|jax,0.1050565242767334,0.9192932132533871,0.09990453720092773,0.9108723957433237,0.10289603471755981,0.8363722117995844,0.10026010870933533,0.7962491767710188,0.026889920234680176,0.946969474340254,0.024930179119110107,0.9622207693952997
