epoch,time_s,loss,inverse_mean,forward_mean,energy_mean
1,0.3839475550048519,3961464.597826087,3961464.597826087,453.0944930366848,63562.530570652176
50,5.824644334999903,4072.6272184952445,4072.6272184952445,647.4888571034307,260.952568385912
100,11.60036954300449,786.7935870626699,786.7935870626699,593.0720374065896,36.44562480760657
150,17.039828220003983,206.46130702806556,206.46130702806556,326.51322472613793,15.340993632440982
200,22.591980647004675,98.19510517949644,98.19510517949644,292.815626061481,13.063103427057682
250,28.28721905400016,69.40712953650433,69.40712953650433,375.14380015497625,12.96702119578486
300,34.16516071800288,55.7022935618525,55.7022935618525,458.26549364172894,12.89654132594233
350,40.04266450100113,46.62452581654424,46.62452581654424,534.8660132366678,12.800700146219004
400,45.45850433200394,40.658884297246516,40.658884297246516,582.8448300568954,12.393314112787662
450,51.116975655000715,36.59529329382855,36.59529329382855,564.196997601053,12.640203807664955
500,56.87998347300163,33.38291076991869,33.38291076991869,550.0813625169837,12.610035108483356
550,62.50962232299935,30.544296679289445,30.544296679289445,526.4971711531929,12.548563542573348
600,68.10696085300151,28.240308429883875,28.240308429883875,516.9506981891135,12.620254475137461
650,73.74538952500006,26.157656047655188,26.157656047655188,514.3800579568614,12.55882101473601
700,79.45455562799907,24.273969235627547,24.273969235627547,506.2791827657948,12.524248828058658
750,85.09043541100255,21.922364856885828,21.922364856885828,490.5634725819463,12.457688248675803
800,90.61328689500078,18.573023422904637,18.573023422904637,459.6687768023947,12.558231146439262
850,96.35854005099827,14.437263239984928,14.437263239984928,426.5543173085088,13.529349368551504
900,101.85504741800105,10.976343320763629,10.976343320763629,411.73073942764944,15.481464842091436
950,107.52000968500215,9.816152531167734,9.816152531167734,403.25672315514606,18.377750977225926
1000,113.16735192899796,9.481286173281463,9.481286173281463,389.5628542692765,18.979659246361773
1050,118.80193038599828,9.216851939325748,9.216851939325748,370.98251077403194,18.845941667971402
1100,124.42164301600133,9.191050612408182,9.191050612408182,357.63659535283625,18.589229708132535
1150,130.1040153560025,9.109707625015922,9.109707625015922,335.9915094790251,17.845432074173637
1200,135.90211109200027,8.975731642349906,8.975731642349906,321.4392713463825,17.499521794526473
1250,141.7346767650015,8.86509945081628,8.86509945081628,304.43863976520043,16.759370803833008
1300,147.41703171600238,8.757403954215672,8.757403954215672,293.17425935164744,16.353915795035984
1350,153.04572524099785,8.654935297758684,8.654935297758684,276.73699752144194,15.730170042618461
1400,158.7029202900012,8.52434133446735,8.52434133446735,261.5563898501189,15.147629447605299
1450,164.4214912230018,8.491608909938646,8.491608909938646,250.24572621221128,14.80798870584239
1500,170.26197540900466,8.434235738671344,8.434235738671344,241.64363164487094,14.265518561653469
1550,175.81400528499944,8.36259528864985,8.36259528864985,235.73062730872113,13.720108239547066
1600,181.5499470040013,8.295376528864322,8.295376528864322,229.5821075439453,13.311237086420475
1650,187.10795407400292,8.114558841871178,8.114558841871178,217.14925948433253,12.988842632459557
1700,192.65990109999984,7.991592925527821,7.991592925527821,209.62616696565047,12.448055142941682
1750,198.36426141300035,8.052296949469525,8.052296949469525,203.24852719514266,12.395926143812096
1800,204.03803438400064,7.942413247149924,7.942413247149924,198.18828217879584,12.1338819835497
1850,209.73485754599824,7.961692561273989,7.961692561273989,190.48816581394362,11.79834274623705
1900,215.4424192680017,7.818423996800962,7.818423996800962,187.25058514138928,11.630440649778947
1950,221.12167733500246,7.901046504145083,7.901046504145083,183.7918243408203,11.259986214015795
2000,226.80104781700356,7.818602230237878,7.818602230237878,177.24285822329313,11.233809595522674
