epoch,time_s,loss,inverse_mean,forward_mean,energy_mean
1,0.3242541890067514,4741237.318181818,4741237.318181818,444.4263361150568,71624.47691761363
50,3.621265758003574,14143.580699573864,14143.580699573864,584.1781227805398,811.8295676491477
100,6.870780679004383,4228.927778764205,4228.927778764205,643.7839688387784,275.4867026589134
150,10.07203654400655,1845.4778275923295,1845.4778275923295,661.7427812056108,104.7508114901456
200,13.364498691000335,848.9493963068181,848.9493963068181,633.0146151455966,43.95606994628906
250,16.52125852300378,423.36573652787644,423.36573652787644,555.9909168590199,23.08702937039462
300,19.672300774000178,230.42248257723722,230.42248257723722,429.3405456542969,16.044124083085492
350,22.806028931001492,143.65482677112925,143.65482677112925,333.0778059525923,13.878896973349832
400,26.123061106001842,102.6587011163885,102.6587011163885,320.5787436745384,12.982010581276633
450,29.369259279003018,84.64520887895064,84.64520887895064,349.27593994140625,12.979170365767045
500,32.6111226130015,72.63132407448508,72.63132407448508,387.67521251331675,12.795184482227672
550,35.876188512003864,63.97302800958807,63.97302800958807,428.01581087979406,12.694778008894486
600,39.139534440000716,57.569997960870914,57.569997960870914,471.10087169300425,12.778059872713955
650,42.379765672005306,52.97547496448863,52.97547496448863,512.8098976828835,12.653575377030807
700,45.51691139600007,48.67095357721502,48.67095357721502,549.0877130681819,12.687494104558771
750,48.746908030007035,45.06422181562944,45.06422181562944,582.2350630326705,12.61251076785001
800,51.972763346006104,41.99797682328658,41.99797682328658,601.6853193803267,12.506770914251154
850,55.092907129001105,39.56660357388583,39.56660357388583,586.3256558504971,12.658940835432572
900,58.32144576400606,37.40331372347745,37.40331372347745,571.6173206676136,12.480935096740723
950,61.47694168500311,35.786560405384414,35.786560405384414,563.3659057617188,12.543963345614346
1000,64.72148179299984,34.005821748213336,34.005821748213336,555.0759110884233,12.496484929865057
1050,67.97241279900481,32.6939565485174,32.6939565485174,543.9859924316406,12.565423185175115
1100,71.143266279003,31.195391221479937,31.195391221479937,537.0439120205966,12.635853680697354
1150,74.28593216200534,29.985131697221235,29.985131697221235,525.1832857998935,12.648717360063033
1200,77.5654713200056,28.685707785866477,28.685707785866477,519.3265325372869,12.594647147438742
1250,80.74083839200466,27.76161766052246,27.76161766052246,516.3367614746094,12.491029565984553
1300,83.94342000100005,26.709733269431375,26.709733269431375,517.9185513583096,12.578155257485129
1350,87.14807714100607,25.715138348666105,25.715138348666105,516.4791148792614,12.611360896717418
1400,90.41967658700014,24.73514643582431,24.73514643582431,513.652440851385,12.67206486788663
1450,93.64627734100213,23.563474134965375,23.563474134965375,504.4759715687145,12.450900077819824
1500,96.72300832500332,22.38289399580522,22.38289399580522,502.4740850275213,12.481316393071955
1550,99.79842036900664,21.11728962984952,21.11728962984952,490.3882002397017,12.487422162836248
1600,102.9751765950059,19.36819128556685,19.36819128556685,478.09529252485794,12.69131833856756
1650,106.18840597900271,17.670201908458363,17.670201908458363,458.70780528675425,12.6630747535012
1700,109.2175665810064,15.529059583490545,15.529059583490545,446.07045676491475,12.607352776960893
1750,112.46022422200622,13.5796405618841,13.5796405618841,433.0124983354048,13.776826425032182
1800,115.624952872,11.636039993979715,11.636039993979715,426.4423301003196,15.034301844510166
1850,118.74669062600151,10.542489051818848,10.542489051818848,418.8657337535511,16.425893956964668
1900,121.94504006300122,9.84578748182817,9.84578748182817,414.94686612215907,17.853825135664508
1950,125.22079155900428,9.686403447931463,9.686403447931463,407.24214311079544,18.575756766579367
2000,128.44467417200212,9.463380640203303,9.463380640203303,399.2435108531605,19.412780241532758
