epoch,loss,val_loss
1.000000000000000000e+00,4.744824767112731934e-01,4.373140335083007812e-01
2.000000000000000000e+00,3.972986042499542236e-01,3.680734336376190186e-01
3.000000000000000000e+00,3.460255265235900879e-01,3.146722912788391113e-01
4.000000000000000000e+00,3.069306015968322754e-01,2.904649674892425537e-01
5.000000000000000000e+00,2.870557308197021484e-01,2.730257511138916016e-01
6.000000000000000000e+00,2.761181294918060303e-01,2.707379162311553955e-01
7.000000000000000000e+00,2.674032151699066162e-01,2.652202844619750977e-01
8.000000000000000000e+00,2.601086199283599854e-01,2.745469212532043457e-01
9.000000000000000000e+00,2.554650902748107910e-01,2.617709636688232422e-01
1.000000000000000000e+01,2.472712546586990356e-01,2.696691453456878662e-01
1.100000000000000000e+01,2.437777072191238403e-01,2.491159290075302124e-01
1.200000000000000000e+01,2.350049763917922974e-01,2.358765453100204468e-01
1.300000000000000000e+01,2.276778817176818848e-01,2.323505580425262451e-01
1.400000000000000000e+01,2.235636115074157715e-01,2.443245500326156616e-01
1.500000000000000000e+01,2.193754017353057861e-01,2.332807481288909912e-01
1.600000000000000000e+01,2.112429589033126831e-01,2.288099229335784912e-01
1.700000000000000000e+01,2.077906727790832520e-01,2.275410890579223633e-01
1.800000000000000000e+01,2.029043138027191162e-01,2.238795608282089233e-01
1.900000000000000000e+01,1.971229612827301025e-01,2.208803296089172363e-01
2.000000000000000000e+01,1.927959620952606201e-01,2.138916999101638794e-01
2.100000000000000000e+01,1.865407824516296387e-01,2.121366709470748901e-01
2.200000000000000000e+01,1.816813200712203979e-01,2.032064646482467651e-01
2.300000000000000000e+01,1.780752241611480713e-01,1.993048638105392456e-01
2.400000000000000000e+01,1.727560460567474365e-01,2.005789428949356079e-01
2.500000000000000000e+01,1.683485656976699829e-01,1.950091123580932617e-01
2.600000000000000000e+01,1.642988920211791992e-01,1.914922297000885010e-01
2.700000000000000000e+01,1.601234823465347290e-01,1.925722360610961914e-01
2.800000000000000000e+01,1.559807211160659790e-01,1.902664750814437866e-01
2.900000000000000000e+01,1.521837264299392700e-01,1.895835548639297485e-01
3.000000000000000000e+01,1.486601233482360840e-01,1.869119852781295776e-01
3.100000000000000000e+01,1.446309238672256470e-01,1.787024140357971191e-01
3.200000000000000000e+01,1.421091556549072266e-01,1.775297522544860840e-01
3.300000000000000000e+01,1.384770870208740234e-01,1.805201321840286255e-01
3.400000000000000000e+01,1.351106911897659302e-01,1.756771504878997803e-01
3.500000000000000000e+01,1.327759623527526855e-01,1.733701080083847046e-01
3.600000000000000000e+01,1.281668692827224731e-01,1.798135191202163696e-01
3.700000000000000000e+01,1.264185160398483276e-01,1.731149256229400635e-01
3.800000000000000000e+01,1.229584068059921265e-01,1.730765402317047119e-01
3.900000000000000000e+01,1.203004047274589539e-01,1.706714779138565063e-01
4.000000000000000000e+01,1.166477799415588379e-01,1.693532317876815796e-01
4.100000000000000000e+01,1.160769239068031311e-01,1.741712242364883423e-01
4.200000000000000000e+01,1.196005120873451233e-01,1.701219975948333740e-01
4.300000000000000000e+01,1.120396703481674194e-01,1.731858700513839722e-01
4.400000000000000000e+01,1.104832291603088379e-01,1.672327965497970581e-01
4.500000000000000000e+01,1.075658798217773438e-01,1.645715832710266113e-01
4.600000000000000000e+01,1.075593456625938416e-01,1.671891212463378906e-01
4.700000000000000000e+01,1.037233844399452209e-01,1.629091203212738037e-01
4.800000000000000000e+01,1.020231172442436218e-01,1.695165634155273438e-01
4.900000000000000000e+01,1.000227034091949463e-01,1.701728254556655884e-01
5.000000000000000000e+01,9.873305261135101318e-02,1.627820581197738647e-01
5.100000000000000000e+01,9.762547165155410767e-02,1.663869023323059082e-01
5.200000000000000000e+01,9.597837924957275391e-02,1.648877263069152832e-01
5.300000000000000000e+01,9.451557695865631104e-02,1.645643264055252075e-01
5.400000000000000000e+01,9.341863542795181274e-02,1.717452406883239746e-01
5.500000000000000000e+01,9.179894626140594482e-02,1.673504710197448730e-01
5.600000000000000000e+01,9.060497581958770752e-02,1.646487265825271606e-01
5.700000000000000000e+01,8.940263837575912476e-02,1.691479682922363281e-01
5.800000000000000000e+01,8.876265585422515869e-02,1.656407564878463745e-01
5.900000000000000000e+01,8.739371597766876221e-02,1.655012071132659912e-01
6.000000000000000000e+01,8.698157966136932373e-02,1.638318598270416260e-01
