epoch,loss,val_loss
1.000000000000000000e+00,6.692367196083068848e-01,1.376174092292785645e+00
2.000000000000000000e+00,5.223947167396545410e-01,1.386016011238098145e+00
3.000000000000000000e+00,4.667087495326995850e-01,1.343986392021179199e+00
4.000000000000000000e+00,4.347000420093536377e-01,1.323987722396850586e+00
5.000000000000000000e+00,4.150079488754272461e-01,1.308264970779418945e+00
6.000000000000000000e+00,3.941654264926910400e-01,1.310429215431213379e+00
7.000000000000000000e+00,3.753260970115661621e-01,1.300961613655090332e+00
8.000000000000000000e+00,3.611491620540618896e-01,1.308384180068969727e+00
9.000000000000000000e+00,3.423408269882202148e-01,1.328571677207946777e+00
1.000000000000000000e+01,3.331780135631561279e-01,1.345548748970031738e+00
1.100000000000000000e+01,3.164426386356353760e-01,1.315049052238464355e+00
1.200000000000000000e+01,3.028119802474975586e-01,1.308054208755493164e+00
1.300000000000000000e+01,2.967909872531890869e-01,1.301440596580505371e+00
1.400000000000000000e+01,2.813847959041595459e-01,1.332700133323669434e+00
1.500000000000000000e+01,2.684530317783355713e-01,1.322447061538696289e+00
1.600000000000000000e+01,2.581594586372375488e-01,1.294377446174621582e+00
1.700000000000000000e+01,2.555496990680694580e-01,1.294793248176574707e+00
1.800000000000000000e+01,2.414862662553787231e-01,1.318423628807067871e+00
1.900000000000000000e+01,2.373553365468978882e-01,1.313384056091308594e+00
2.000000000000000000e+01,2.221295237541198730e-01,1.284451127052307129e+00
2.100000000000000000e+01,2.134995609521865845e-01,1.274620890617370605e+00
2.200000000000000000e+01,2.065998166799545288e-01,1.226827502250671387e+00
2.300000000000000000e+01,1.901327073574066162e-01,1.256819128990173340e+00
2.400000000000000000e+01,1.888361722230911255e-01,1.278107643127441406e+00
2.500000000000000000e+01,1.752750873565673828e-01,1.261548757553100586e+00
2.600000000000000000e+01,1.704355180263519287e-01,1.263331055641174316e+00
2.700000000000000000e+01,1.621464788913726807e-01,1.227380633354187012e+00
2.800000000000000000e+01,1.600477248430252075e-01,1.262642621994018555e+00
2.900000000000000000e+01,1.497253626585006714e-01,1.241966962814331055e+00
3.000000000000000000e+01,1.492887288331985474e-01,1.264132499694824219e+00
3.100000000000000000e+01,1.397237628698348999e-01,1.275763630867004395e+00
3.200000000000000000e+01,1.408669054508209229e-01,1.274294734001159668e+00
