epoch,loss,val_loss
1.000000000000000000e+00,6.798421144485473633e-01,1.267167806625366211e+00
2.000000000000000000e+00,5.157972574234008789e-01,1.253134012222290039e+00
3.000000000000000000e+00,4.621166288852691650e-01,1.240333199501037598e+00
4.000000000000000000e+00,4.313596189022064209e-01,1.208637595176696777e+00
5.000000000000000000e+00,4.100246429443359375e-01,1.199543237686157227e+00
6.000000000000000000e+00,3.949113190174102783e-01,1.197400212287902832e+00
7.000000000000000000e+00,3.749327063560485840e-01,1.207770586013793945e+00
8.000000000000000000e+00,3.645475506782531738e-01,1.203603029251098633e+00
9.000000000000000000e+00,3.413527905941009521e-01,1.174101710319519043e+00
1.000000000000000000e+01,3.254213929176330566e-01,1.175465941429138184e+00
1.100000000000000000e+01,3.142094314098358154e-01,1.192546486854553223e+00
1.200000000000000000e+01,3.038698434829711914e-01,1.237009763717651367e+00
1.300000000000000000e+01,2.875629365444183350e-01,1.210406422615051270e+00
1.400000000000000000e+01,2.808811068534851074e-01,1.253096342086791992e+00
1.500000000000000000e+01,2.777644693851470947e-01,1.224947810173034668e+00
1.600000000000000000e+01,2.644071877002716064e-01,1.222294926643371582e+00
1.700000000000000000e+01,2.568191587924957275e-01,1.238071084022521973e+00
1.800000000000000000e+01,2.463557571172714233e-01,1.279269933700561523e+00
1.900000000000000000e+01,2.340500503778457642e-01,1.215050935745239258e+00
