epoch,time_s,loss,inverse_mean,forward_mean,energy_mean
1,0.7296383089997107,70686.7109375,70686.7109375,6.512747287750244,4975.7724609375
50,7.648844737002946,229.11288452148438,229.11288452148438,6.85869026184082,357.8734436035156
100,14.389184345000103,66.01033782958984,66.01033782958984,7.7966084480285645,92.76866149902344
150,21.10590088800018,28.52255630493164,28.52255630493164,13.554491996765137,39.54135513305664
200,27.820279691000906,14.515395164489746,14.515395164489746,25.742429733276367,22.119295120239258
250,34.54064094100249,8.099827766418457,8.099827766418457,45.8140869140625,14.57187271118164
300,41.22540942300111,4.959997177124023,4.959997177124023,76.79804992675781,10.955503463745117
350,47.93812849100141,3.2099974155426025,3.2099974155426025,119.48033905029297,8.820738792419434
400,54.64343451100285,2.245590925216675,2.245590925216675,166.46302795410156,7.006741523742676
450,61.3192725350018,1.626917839050293,1.626917839050293,212.1808624267578,5.462768077850342
500,68.01082144300017,1.2066569328308105,1.2066569328308105,255.12156677246094,4.11050271987915
