epoch,time_s,loss,inverse_mean,forward_mean,energy_mean
1,0.7389898459950928,70686.7109375,70686.7109375,6.512747287750244,4975.7724609375
50,7.609119854998426,229.11288452148438,229.11288452148438,6.85869026184082,357.8734436035156
100,14.36109351900086,66.01033782958984,66.01033782958984,7.7966084480285645,92.76866149902344
150,21.038734693996958,28.52255630493164,28.52255630493164,13.554491996765137,39.54135513305664
200,27.71195675600029,14.515395164489746,14.515395164489746,25.742429733276367,22.119295120239258
250,34.416687289995025,8.099827766418457,8.099827766418457,45.8140869140625,14.57187271118164
300,41.12642961600068,4.959997177124023,4.959997177124023,76.79804992675781,10.955503463745117
350,47.809613845995045,3.2099974155426025,3.2099974155426025,119.48033905029297,8.820738792419434
400,54.473155695995956,2.245590925216675,2.245590925216675,166.46302795410156,7.006741523742676
450,61.15580027699616,1.626917839050293,1.626917839050293,212.1808624267578,5.462768077850342
500,67.81617508999625,1.2066569328308105,1.2066569328308105,255.12156677246094,4.11050271987915
550,74.4775919409949,0.9214072823524475,0.9214072823524475,317.14422607421875,3.1174912452697754
600,81.16329679699993,0.7306652069091797,0.7306652069091797,390.95086669921875,2.370946168899536
650,87.85730297499686,0.6123685240745544,0.6123685240745544,527.6696166992188,1.9301010370254517
700,94.54170865199558,0.5307115316390991,0.5307115316390991,695.3602294921875,1.6681196689605713
750,101.24011359200085,0.49262526631355286,0.49262526631355286,927.77783203125,1.5146782398223877
800,107.91058322900062,0.4473118484020233,0.4473118484020233,1128.1553955078125,1.2901192903518677
850,114.57876559699798,0.4315664768218994,0.4315664768218994,1330.207275390625,1.2861026525497437
900,121.22556874699512,0.4099409580230713,0.4099409580230713,1455.24658203125,1.2798099517822266
950,127.86230879600043,0.3976028263568878,0.3976028263568878,1610.2520751953125,1.2456332445144653
1000,134.465484043998,0.38792744278907776,0.38792744278907776,1674.5665283203125,1.2245737314224243
1050,141.08841815699998,0.3755892813205719,0.3755892813205719,1708.55859375,1.1786900758743286
1100,147.729964827995,0.3704138994216919,0.3704138994216919,1783.22998046875,1.148919701576233
1150,154.34007387799647,0.36184555292129517,0.36184555292129517,1870.981689453125,1.0673449039459229
1200,160.97374367799785,0.3582015633583069,0.3582015633583069,1919.6575927734375,1.141523838043213
1250,167.62113289399713,0.35936883091926575,0.35936883091926575,2011.0662841796875,1.1376941204071045
1300,174.2396406159969,0.35734865069389343,0.35734865069389343,1990.085205078125,1.1236066818237305
1350,180.88774199199543,0.35070687532424927,0.35070687532424927,2021.2557373046875,1.1217859983444214
1400,187.5459722279993,0.34594985842704773,0.34594985842704773,2026.2113037109375,1.073589563369751
1450,194.17085125699668,0.3371371924877167,0.3371371924877167,2061.517578125,1.0827347040176392
1500,200.78406955799437,0.3375011682510376,0.3375011682510376,2142.306884765625,1.0815640687942505
1550,207.40479897800105,0.34192782640457153,0.34192782640457153,2257.6298828125,1.0978569984436035
1600,214.03109291599685,0.3411637544631958,0.3411637544631958,2128.357421875,1.0812363624572754
1650,220.67311590499594,0.33132416009902954,0.33132416009902954,2251.942138671875,1.024482011795044
1700,227.27672252999764,0.32560673356056213,0.32560673356056213,2199.53369140625,1.0660017728805542
1750,233.90117969999847,0.329833060503006,0.329833060503006,2333.004638671875,1.0672597885131836
1800,240.5432524489952,0.3309648036956787,0.3309648036956787,2362.49072265625,1.0572620630264282
1850,247.19167024299531,0.33467215299606323,0.33467215299606323,2360.099609375,1.0638573169708252
1900,253.80388844099798,0.32860177755355835,0.32860177755355835,2427.130615234375,1.0519789457321167
1950,260.4192426160007,0.3214883506298065,0.3214883506298065,2381.53759765625,1.0432316064834595
2000,267.05873186999816,0.3194265067577362,0.3194265067577362,2421.746826171875,1.012257695198059
