epoch,loss,val_loss
1.000000000000000000e+00,2.684048116207122803e-01,7.547052502632141113e-01
2.000000000000000000e+00,1.305677443742752075e-01,6.824625134468078613e-01
3.000000000000000000e+00,1.132138445973396301e-01,6.396079659461975098e-01
4.000000000000000000e+00,1.030440777540206909e-01,6.180412173271179199e-01
5.000000000000000000e+00,9.552869945764541626e-02,6.066175103187561035e-01
6.000000000000000000e+00,8.979002386331558228e-02,6.030720472335815430e-01
7.000000000000000000e+00,8.390983194112777710e-02,5.857199430465698242e-01
8.000000000000000000e+00,7.737584412097930908e-02,5.712364912033081055e-01
9.000000000000000000e+00,7.212736457586288452e-02,5.712015628814697266e-01
1.000000000000000000e+01,6.783816218376159668e-02,5.551994442939758301e-01
1.100000000000000000e+01,6.394851207733154297e-02,5.308739542961120605e-01
1.200000000000000000e+01,6.042680889368057251e-02,5.182834267616271973e-01
1.300000000000000000e+01,6.175071001052856445e-02,5.137864947319030762e-01
1.400000000000000000e+01,5.698819458484649658e-02,5.185171365737915039e-01
1.500000000000000000e+01,5.510847643017768860e-02,5.158380866050720215e-01
1.600000000000000000e+01,5.173964425921440125e-02,5.302835106849670410e-01
1.700000000000000000e+01,4.933423176407814026e-02,5.057552456855773926e-01
1.800000000000000000e+01,4.842695221304893494e-02,4.816167354583740234e-01
1.900000000000000000e+01,4.472057148814201355e-02,4.810375869274139404e-01
2.000000000000000000e+01,4.444228485226631165e-02,4.936782419681549072e-01
2.100000000000000000e+01,4.256032034754753113e-02,4.661503732204437256e-01
2.200000000000000000e+01,4.224882647395133972e-02,4.791975021362304688e-01
2.300000000000000000e+01,3.918567672371864319e-02,4.945289194583892822e-01
2.400000000000000000e+01,3.856695070862770081e-02,4.810468256473541260e-01
2.500000000000000000e+01,3.718021884560585022e-02,4.830839037895202637e-01
2.600000000000000000e+01,3.761838376522064209e-02,4.816240370273590088e-01
2.700000000000000000e+01,3.664199262857437134e-02,4.788778424263000488e-01
2.800000000000000000e+01,3.613734617829322815e-02,4.799851775169372559e-01
2.900000000000000000e+01,3.435377776622772217e-02,4.753076434135437012e-01
3.000000000000000000e+01,3.526412695646286011e-02,4.869344234466552734e-01
3.100000000000000000e+01,3.397530317306518555e-02,4.905941784381866455e-01
