epoch,loss,val_loss
1.000000000000000000e+00,6.660147905349731445e-01,1.263573646545410156e+00
2.000000000000000000e+00,5.114037990570068359e-01,1.282379746437072754e+00
3.000000000000000000e+00,4.557603001594543457e-01,1.272042036056518555e+00
4.000000000000000000e+00,4.293383359909057617e-01,1.268050551414489746e+00
5.000000000000000000e+00,4.086514115333557129e-01,1.245152115821838379e+00
6.000000000000000000e+00,3.885812759399414062e-01,1.211211204528808594e+00
7.000000000000000000e+00,3.743099570274353027e-01,1.260577082633972168e+00
8.000000000000000000e+00,3.608136475086212158e-01,1.235038399696350098e+00
9.000000000000000000e+00,3.418805301189422607e-01,1.228365540504455566e+00
1.000000000000000000e+01,3.311778306961059570e-01,1.212808847427368164e+00
1.100000000000000000e+01,3.165473043918609619e-01,1.215596318244934082e+00
1.200000000000000000e+01,3.028395473957061768e-01,1.209361314773559570e+00
1.300000000000000000e+01,2.906548678874969482e-01,1.216961979866027832e+00
1.400000000000000000e+01,2.801616489887237549e-01,1.215736389160156250e+00
1.500000000000000000e+01,2.704287171363830566e-01,1.245638251304626465e+00
1.600000000000000000e+01,2.618130445480346680e-01,1.210265755653381348e+00
1.700000000000000000e+01,2.533218562602996826e-01,1.185742974281311035e+00
1.800000000000000000e+01,2.504842579364776611e-01,1.224454283714294434e+00
1.900000000000000000e+01,2.351511418819427490e-01,1.160759925842285156e+00
2.000000000000000000e+01,2.315716147422790527e-01,1.158492326736450195e+00
2.100000000000000000e+01,2.104918360710144043e-01,1.153381228446960449e+00
2.200000000000000000e+01,2.017676979303359985e-01,1.166770219802856445e+00
2.300000000000000000e+01,1.925852000713348389e-01,1.148502349853515625e+00
2.400000000000000000e+01,1.871304810047149658e-01,1.097406029701232910e+00
2.500000000000000000e+01,1.748498529195785522e-01,1.108067154884338379e+00
2.600000000000000000e+01,1.702225208282470703e-01,1.086330056190490723e+00
2.700000000000000000e+01,1.672653555870056152e-01,1.087298870086669922e+00
2.800000000000000000e+01,1.603721976280212402e-01,1.072581410408020020e+00
2.900000000000000000e+01,1.547221094369888306e-01,1.087431550025939941e+00
3.000000000000000000e+01,1.475556641817092896e-01,1.046960949897766113e+00
3.100000000000000000e+01,1.480581909418106079e-01,1.052767157554626465e+00
3.200000000000000000e+01,1.381889730691909790e-01,1.083543181419372559e+00
3.300000000000000000e+01,1.364820301532745361e-01,1.075786948204040527e+00
3.400000000000000000e+01,1.336943805217742920e-01,1.064584851264953613e+00
3.500000000000000000e+01,1.294303536415100098e-01,1.091270446777343750e+00
3.600000000000000000e+01,1.285613179206848145e-01,1.058938145637512207e+00
3.700000000000000000e+01,1.212849617004394531e-01,1.079379439353942871e+00
3.800000000000000000e+01,1.201699003577232361e-01,1.092266678810119629e+00
3.900000000000000000e+01,1.211059913039207458e-01,1.091972827911376953e+00
4.000000000000000000e+01,1.187983378767967224e-01,1.075291156768798828e+00
