epoch,time_s,loss,inverse_mean,forward_mean,energy_mean
1,5.248670965000201,477.4851989746094,477.4851989746094,6.243968963623047,35.41792297363281
50,8.019062670002313,4.696426868438721,4.696426868438721,20.298484802246094,0.42289403080940247
100,9.208960414001922,2.2445285320281982,2.2445285320281982,66.1960220336914,0.32597067952156067
150,10.399340463001863,1.7207581996917725,1.7207581996917725,131.31893920898438,0.32678964734077454
200,11.668814200002089,1.5068882703781128,1.5068882703781128,243.36656188964844,0.3331490755081177
250,12.917826409000554,1.4011067152023315,1.4011067152023315,355.5604553222656,0.3454226851463318
300,14.14551497499997,1.341462254524231,1.341462254524231,476.8780517578125,0.3520963191986084
350,15.316794435002521,1.299999475479126,1.299999475479126,561.2127075195312,0.3564540147781372
400,16.513030527999945,1.2688895463943481,1.2688895463943481,731.332275390625,0.3589308261871338
450,17.700154776001,1.2472429275512695,1.2472429275512695,1146.5299072265625,0.3593515455722809
500,18.91195842900197,1.228692650794983,1.228692650794983,2508.264892578125,0.36153069138526917
550,20.139315563999844,1.2138844728469849,1.2138844728469849,8151.67431640625,0.36331549286842346
600,21.358751070001745,1.200528860092163,1.200528860092163,25495.685546875,0.3624728322029114
650,22.533269473002292,1.191686749458313,1.191686749458313,64521.73046875,0.3625669479370117
700,23.686922970002342,1.1835685968399048,1.1835685968399048,141350.359375,0.3641754388809204
750,24.86110833999919,1.1766663789749146,1.1766663789749146,274083.3125,0.3635181784629822
800,26.096655458000896,1.1714200973510742,1.1714200973510742,453019.9375,0.36584988236427307
850,27.312504337001883,1.166600227355957,1.166600227355957,713308.5625,0.3657822012901306
900,28.523830912999983,1.1613683700561523,1.1613683700561523,1256080.875,0.36673325300216675
950,29.793289920999086,1.1568559408187866,1.1568559408187866,1918714.625,0.3663886487483978
1000,31.00711498199962,1.1523374319076538,1.1523374319076538,2753435.25,0.36483609676361084
1050,32.245088488001784,1.148498296737671,1.148498296737671,3398710.0,0.3650871813297272
1100,33.42699430799985,1.1443884372711182,1.1443884372711182,4748732.0,0.3653588891029358
1150,34.58411902100124,1.1408013105392456,1.1408013105392456,5999458.0,0.36769238114356995
1200,35.7741891020014,1.1366254091262817,1.1366254091262817,7075099.5,0.36468663811683655
1250,36.95906286299942,1.1321425437927246,1.1321425437927246,7547132.5,0.3646164834499359
1300,38.144274170001154,1.1272073984146118,1.1272073984146118,7745696.5,0.3659205734729767
1350,39.327526514000056,1.1247599124908447,1.1247599124908447,8893347.0,0.3650539219379425
1400,40.52177640800073,1.122481107711792,1.122481107711792,8617162.0,0.3636789917945862
1450,41.752899454000726,1.1204549074172974,1.1204549074172974,9350514.0,0.36571213603019714
1500,42.88454936999915,1.1185932159423828,1.1185932159423828,8947374.0,0.36608436703681946
1550,44.04596022700207,1.11705482006073,1.11705482006073,8858022.0,0.3655474781990051
1600,45.1827669459999,1.115005612373352,1.115005612373352,8516877.0,0.36636295914649963
1650,46.2867904420018,1.1128817796707153,1.1128817796707153,8256431.0,0.3661675453186035
1700,47.530194805000065,1.1094281673431396,1.1094281673431396,8009452.0,0.36606505513191223
1750,48.71763923300023,1.1093957424163818,1.1093957424163818,7513287.5,0.36454734206199646
1800,50.016651105001074,1.1076637506484985,1.1076637506484985,7447478.0,0.3664461374282837
1850,51.298059618999105,1.1064327955245972,1.1064327955245972,7010620.0,0.36498501896858215
1900,52.480754510001134,1.1051678657531738,1.1051678657531738,6760888.5,0.3665374219417572
1950,53.666452637000475,1.1032929420471191,1.1032929420471191,6447393.5,0.3668057322502136
2000,54.89008111899966,1.1030842065811157,1.1030842065811157,6028645.5,0.3671784996986389
