epoch,loss,val_loss
1.000000000000000000e+00,6.790998578071594238e-01,1.263342618942260742e+00
2.000000000000000000e+00,5.238053798675537109e-01,1.279900908470153809e+00
3.000000000000000000e+00,4.709018170833587646e-01,1.236189126968383789e+00
4.000000000000000000e+00,4.378176629543304443e-01,1.265770912170410156e+00
5.000000000000000000e+00,4.170020520687103271e-01,1.236572623252868652e+00
6.000000000000000000e+00,4.001862704753875732e-01,1.255167603492736816e+00
7.000000000000000000e+00,3.844365477561950684e-01,1.193007230758666992e+00
8.000000000000000000e+00,3.671592772006988525e-01,1.213408589363098145e+00
9.000000000000000000e+00,3.480307161808013916e-01,1.227875351905822754e+00
1.000000000000000000e+01,3.313156962394714355e-01,1.204582095146179199e+00
1.100000000000000000e+01,3.214927613735198975e-01,1.223531126976013184e+00
1.200000000000000000e+01,3.088192939758300781e-01,1.229315876960754395e+00
1.300000000000000000e+01,2.981199026107788086e-01,1.213363885879516602e+00
1.400000000000000000e+01,2.857442796230316162e-01,1.239552378654479980e+00
1.500000000000000000e+01,2.735930979251861572e-01,1.208288788795471191e+00
1.600000000000000000e+01,2.618827223777770996e-01,1.185811758041381836e+00
1.700000000000000000e+01,2.518105804920196533e-01,1.198678970336914062e+00
1.800000000000000000e+01,2.427582591772079468e-01,1.181330323219299316e+00
1.900000000000000000e+01,2.295239567756652832e-01,1.204518079757690430e+00
2.000000000000000000e+01,2.155969291925430298e-01,1.154260516166687012e+00
2.100000000000000000e+01,2.062560617923736572e-01,1.176607251167297363e+00
2.200000000000000000e+01,1.985315829515457153e-01,1.132921338081359863e+00
2.300000000000000000e+01,1.914879381656646729e-01,1.178302049636840820e+00
2.400000000000000000e+01,1.875578463077545166e-01,1.175168871879577637e+00
2.500000000000000000e+01,1.776971966028213501e-01,1.143946051597595215e+00
2.600000000000000000e+01,1.736220419406890869e-01,1.128656864166259766e+00
2.700000000000000000e+01,1.633286178112030029e-01,1.104886054992675781e+00
2.800000000000000000e+01,1.555737555027008057e-01,1.106405735015869141e+00
2.900000000000000000e+01,1.485764533281326294e-01,1.142994761466979980e+00
3.000000000000000000e+01,1.490878313779830933e-01,1.139477372169494629e+00
3.100000000000000000e+01,1.412803828716278076e-01,1.125999450683593750e+00
3.200000000000000000e+01,1.367062032222747803e-01,1.121498465538024902e+00
3.300000000000000000e+01,1.387413591146469116e-01,1.115118265151977539e+00
3.400000000000000000e+01,1.269560009241104126e-01,1.130288958549499512e+00
3.500000000000000000e+01,1.267452090978622437e-01,1.114508271217346191e+00
3.600000000000000000e+01,1.243074014782905579e-01,1.112013339996337891e+00
3.700000000000000000e+01,1.202973872423171997e-01,1.125926017761230469e+00
