epoch,loss,val_loss
1.000000000000000000e+00,6.225841641426086426e-01,1.640937566757202148e+00
2.000000000000000000e+00,4.131701588630676270e-01,1.653368592262268066e+00
3.000000000000000000e+00,3.474062979221343994e-01,1.621084570884704590e+00
4.000000000000000000e+00,3.182491064071655273e-01,1.624646425247192383e+00
5.000000000000000000e+00,2.908447980880737305e-01,1.650530099868774414e+00
6.000000000000000000e+00,2.790390849113464355e-01,1.615720033645629883e+00
7.000000000000000000e+00,2.676734626293182373e-01,1.608749628067016602e+00
8.000000000000000000e+00,2.536457180976867676e-01,1.567859649658203125e+00
9.000000000000000000e+00,2.430782765150070190e-01,1.565743565559387207e+00
1.000000000000000000e+01,2.342654317617416382e-01,1.568666219711303711e+00
1.100000000000000000e+01,2.255743145942687988e-01,1.626670598983764648e+00
1.200000000000000000e+01,2.106284201145172119e-01,1.542082428932189941e+00
1.300000000000000000e+01,2.061202526092529297e-01,1.472169160842895508e+00
1.400000000000000000e+01,1.936259120702743530e-01,1.512624502182006836e+00
1.500000000000000000e+01,1.815935820341110229e-01,1.498430013656616211e+00
1.600000000000000000e+01,1.718502491712570190e-01,1.542353868484497070e+00
1.700000000000000000e+01,1.726479083299636841e-01,1.554905295372009277e+00
1.800000000000000000e+01,1.640604436397552490e-01,1.596513032913208008e+00
1.900000000000000000e+01,1.548232734203338623e-01,1.560789942741394043e+00
2.000000000000000000e+01,1.522701680660247803e-01,1.590788722038269043e+00
2.100000000000000000e+01,1.430894583463668823e-01,1.524842143058776855e+00
2.200000000000000000e+01,1.405619978904724121e-01,1.637793540954589844e+00
2.300000000000000000e+01,1.396374106407165527e-01,1.656174898147583008e+00
